                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6545,                 5.4292,                 2.2278,                0.05561,                0.23077,                0.04222,                0.01731,                 1.3997,                 8.1502,                 1.9503,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.1591,                 2.8458,                 1.7684,                0.47036,                0.61485,                0.56694,                0.30137,                 1.2388,                 12.587,                   1.79,              9.604e-05,              9.604e-05,              9.604e-05
                      3,                0.97547,                 2.1862,                 1.6103,                 0.5164,                0.46154,                0.41083,                0.31662,                 1.1618,                 9.7807,                 1.8961,             0.00014733,             0.00014733,             0.00014733
                      4,                0.78294,                 1.7178,                 1.4152,                0.72771,                0.82343,                0.77866,                0.51298,                 1.1969,                 8.1577,                 1.8741,             0.00019386,             0.00019386,             0.00019386
                      5,                0.77628,                 1.4604,                 1.3796,                0.35817,                0.76923,                0.50826,                0.34618,                 1.2593,                 6.2987,                 1.8796,             0.00023565,             0.00023565,             0.00023565
                      6,                0.75068,                 1.2666,                 1.4173,                0.75212,                0.70079,                0.80128,                0.46438,                 1.2367,                 6.1767,                 2.0431,             0.00027268,             0.00027268,             0.00027268
                      7,                0.70374,                 1.1003,                 1.3247,                0.73176,                0.92308,                0.84375,                0.61436,                0.95304,                 4.0424,                 1.7469,             0.00030496,             0.00030496,             0.00030496
                      8,                0.74958,                  1.002,                 1.3888,                0.91462,                0.82537,                0.94623,                0.68689,                0.90327,                 3.4291,                 1.6601,             0.00033249,             0.00033249,             0.00033249
                      9,                0.70455,                 1.1847,                 1.3642,                0.70903,                      1,                0.93189,                0.74332,                0.68433,                 2.4652,                 1.4566,             0.00035526,             0.00035526,             0.00035526
                     10,                0.68884,                 1.1016,                 1.3704,                0.91477,                0.82693,                0.92867,                0.73232,                0.74052,                 3.1522,                 1.5201,             0.00037329,             0.00037329,             0.00037329
                     11,                0.71708,                0.87707,                 1.3623,                0.73806,                      1,                 0.9229,                0.64216,                0.92446,                 2.3217,                 1.6113,             0.00038656,             0.00038656,             0.00038656
                     12,                0.67885,                0.92575,                 1.3281,                0.55881,                0.92308,                0.74605,                0.52425,                 0.9599,                   2.77,                 1.6438,             0.00039508,             0.00039508,             0.00039508
                     13,                 0.6527,                0.79209,                 1.3609,                0.74669,                0.84615,                0.89756,                0.65036,                0.97516,                 2.7157,                 1.7511,             0.00039885,             0.00039885,             0.00039885
                     14,                0.66854,                0.73774,                 1.3031,                0.89372,                      1,                0.96214,                0.62076,                  1.046,                 2.3722,                 1.9349,             0.00039786,             0.00039786,             0.00039786
                     15,                0.62955,                0.81217,                 1.3197,                0.92833,                0.99669,                0.98429,                0.67922,                0.96353,                 1.8924,                 1.8041,             0.00039213,             0.00039213,             0.00039213
                     16,                0.78959,                 1.1407,                 1.6456,                0.90259,                0.92308,                0.95803,                0.70517,                0.99754,                 1.7396,                 1.9968,             0.00038164,             0.00038164,             0.00038164
                     17,                0.73393,                 1.0676,                 1.5903,                0.89648,                      1,                0.96786,                0.76839,                 0.7813,                  2.035,                 1.9161,              0.0003664,              0.0003664,              0.0003664
                     18,                0.75406,                0.93059,                 1.6202,                0.88129,                      1,                0.97857,                0.80161,                0.76505,                 1.8356,                 1.9711,             0.00034641,             0.00034641,             0.00034641
                     19,                0.61837,                0.85624,                 1.4686,                0.92791,                0.99074,                   0.99,                 0.8048,                0.80491,                 1.3654,                 1.9902,             0.00032166,             0.00032166,             0.00032166
                     20,                 0.6772,                0.89497,                 1.4792,                0.92101,                      1,                   0.99,                0.81954,                0.77069,                 1.2015,                 1.7645,             0.00029217,             0.00029217,             0.00029217
                     21,                0.68547,                0.87078,                   1.54,                0.92015,                      1,                  0.995,                 0.8124,                0.76824,                 1.1779,                   1.59,             0.00025792,             0.00025792,             0.00025792
                     22,                0.63088,                0.72109,                 1.4165,                0.91838,                      1,                   0.99,                0.79727,                0.81679,                 1.2248,                 1.5953,             0.00021892,             0.00021892,             0.00021892
                     23,                0.59495,                 0.7589,                 1.3891,                0.91781,                      1,                  0.995,                0.76264,                0.81951,                  1.125,                 1.6025,             0.00017517,             0.00017517,             0.00017517
                     24,                  0.581,                0.68716,                 1.3933,                0.96272,                      1,                  0.995,                0.77913,                0.80693,                 1.0401,                 1.5933,             0.00012666,             0.00012666,             0.00012666
                     25,                0.57329,                0.66387,                 1.3714,                0.96389,                      1,                  0.995,                0.78841,                0.80641,                 0.9631,                 1.5842,             7.3408e-05,             7.3408e-05,             7.3408e-05
